Column1,Column2,Column3,Column4
,mass A,,
t,x,y,
0.000000E0,7.978502E-3,1.658531E0,
3.333333E-2,4.999708E-3,1.660047E0,
6.666667E-2,1.862444E-3,1.665790E0,
1.000000E-1,3.425138E-4,1.664531E0,
1.333333E-1,-9.104300E-4,1.667116E0,
1.666667E-1,-9.823028E-4,1.666506E0,
2.000000E-1,-6.692152E-4,1.667941E0,
2.333333E-1,9.069116E-4,1.669622E0,
2.666667E-1,4.277375E-3,1.674169E0,
3.000000E-1,9.903972E-3,1.680592E0,
3.333333E-1,1.950925E-2,1.688160E0,
3.666667E-1,4.495390E-2,1.692278E0,
4.000000E-1,1.092889E-1,1.669418E0,
4.333333E-1,1.473530E-1,1.648807E0,
4.666667E-1,1.910685E-1,1.606255E0,
5.000000E-1,2.487890E-1,1.566138E0,
5.333333E-1,2.974664E-1,1.496576E0,
5.666667E-1,3.309688E-1,1.412394E0,
6.000000E-1,3.884316E-1,1.310739E0,
6.333333E-1,4.298185E-1,1.203848E0,
6.666667E-1,4.656020E-1,1.084840E0,
7.000000E-1,5.099398E-1,9.526294E-1,
7.333333E-1,5.356400E-1,8.316757E-1,
7.666667E-1,5.854226E-1,6.701942E-1,
8.000000E-1,6.178352E-1,5.171066E-1,
8.333333E-1,6.461755E-1,3.571211E-1,
8.666667E-1,6.785882E-1,2.040336E-1,
9.000000E-1,7.135773E-1,3.640191E-2,
9.333333E-1,7.247970E-1,4.280134E-2,
9.666667E-1,7.511427E-1,1.630606E-1,
1.000000E0,7.887913E-1,2.394382E-1,
1.033333E0,7.892117E-1,3.283192E-1,
1.066667E0,8.197655E-1,4.049811E-1,
1.100000E0,8.662076E-1,4.615976E-1,
1.133333E0,8.702741E-1,5.243059E-1,
1.166667E0,8.908832E-1,5.666995E-1,
1.200000E0,9.164156E-1,5.934706E-1,
1.233333E0,9.324021E-1,5.971488E-1,
1.266667E0,9.358306E-1,6.016443E-1,
